row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h,kernel_size_w,kernel_shape,num_kernel,pool_size_h,pool_size_w,fcl_size,dropout,optimizer,learning_rate,batch_size,num_epoch,config_align,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,criteria
3,1,19,"hourofday,age,sex,eda,acc,temp,hr",30s,TRUE,3,45,2,1,3,wide rec,16,3,3,16,0.5,adam,0.001,100,150,3,0.8860892534255982,0.895159637928009,0.8001894235610962,0.93690265417099,90.9216881275177,val_recall
3243,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,3,45,2,1,3,wide rec,16,3,3,16,0.5,adam,0.001,100,150,651,0.8766879796981811,0.8943557620048523,0.778522503376007,0.9311418294906616,76.28352341651916,val_recall
2487,4,19,"hourofday,age,sex,temp,hr,acc,eda",30s,TRUE,57,60,2,1,3,wide rec,16,3,3,16,0.5,adam,0.001,100,150,543,0.9030352234840393,0.8926172733306885,0.8318859696388244,0.9485787749290466,80.4608515739441,val_recall
851,2,19,"hourofday,age,sex,temp,acc,eda,hr",30s,TRUE,41,45,2,1,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,203,0.8892877578735352,0.8881798505783081,0.8012913465499878,0.9514029026031494,82.25370712280274,val_recall
19986,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,6,12,2,3,1,long rec,16,4,3,16,0.5,adam,0.001,100,150,132,0.8960254788398743,0.8818368434906005,0.8136514782905578,0.9547274708747864,7.378085613250732,val_recall
20692,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,82,18,2,3,3,square,16,4,3,16,0.5,adam,0.001,100,150,334,0.9160148143768311,0.876038658618927,0.8696598052978516,0.9639970421791076,10.351278448104859,val_recall
19461,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,111,18,2,1,3,wide rec,16,3,5,16,0.5,adam,0.001,100,150,111,0.9231407284736634,0.8750982284545898,0.8900230765342713,0.9634294152259827,11.820234870910644,val_recall
21341,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,101,18,2,1,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,479,0.9112556934356689,0.8682326912879944,0.8595521807670593,0.9552901864051819,10.382842683792115,val_recall
21971,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,101,18,2,1,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,605,0.9112556934356689,0.8682326912879944,0.8595521807670593,0.9552901864051819,10.369103908538818,val_recall
16949,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,119,18,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,245,0.9247783064842224,0.8847217202186585,0.8839757680892945,0.9631482720375061,11.815446805953979,val_recall
17533,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,73,18,2,1,1,square,16,3,3,16,0.5,adam,0.001,100,150,325,0.9271785140037536,0.8808251738548278,0.8948558449745179,0.9606717705726624,9.549261093139648,val_recall
18828,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,108,18,2,3,5,wide rec,16,5,4,16,0.5,adam,0.001,100,150,612,0.9263732671737671,0.8786022424697876,0.8957162976264954,0.9680069208145141,9.878371477127075,val_recall
