epoch,hr,seed_split,seed_model,feature,rank
1min,1,155,18,acc_q2,7
1min,1,155,18,sex,8
1min,1,155,18,acc_q3,9
1min,1,155,18,hr_sd,10
1min,1,155,18,hr_mean,11
1min,1,155,18,hr_q3,12
1min,1,155,18,eda_cat,13
1min,1,155,18,temp_q2,14
1min,1,155,18,temp_q1,15
1min,1,155,18,hr_q1,16
1min,1,155,18,hr_q2,17
1min,1,155,18,temp_mean,18
1min,1,155,18,temp_q3,19
1min,1,642,18,hourofday,1
1min,1,642,18,age,2
1min,1,642,18,temp_sd,3
1min,1,642,18,acc_q1,4
1min,1,642,18,acc_q2,5
1min,1,642,18,acc_sd,6
1min,1,642,18,acc_q3,7
1min,1,642,18,acc_mean,8
1min,1,642,18,sex,9
1min,1,642,18,hr_sd,10
1min,1,642,18,eda_cat,11
1min,1,642,18,hr_mean,12
1min,1,642,18,hr_q3,13
1min,1,642,18,temp_q2,14
1min,1,642,18,temp_q3,15
1min,1,642,18,hr_q1,16
1min,1,642,18,temp_q1,17
1min,1,642,18,temp_mean,18
1min,1,642,18,hr_q2,19
1min,1,890,29,hourofday,1
1min,1,890,29,age,2
1min,1,890,29,temp_sd,3
1min,1,890,29,acc_q3,4
1min,1,890,29,acc_q1,5
1min,1,890,29,acc_mean,6
1min,1,890,29,acc_sd,7
1min,1,890,29,acc_q2,8
1min,1,890,29,sex,9
1min,1,890,29,hr_sd,10
1min,1,890,29,eda_cat,11
1min,1,890,29,hr_mean,12
1min,1,890,29,hr_q3,13
1min,1,890,29,temp_q2,14
1min,1,890,29,temp_q1,15
1min,1,890,29,hr_q1,16
1min,1,890,29,temp_q3,17
1min,1,890,29,temp_mean,18
1min,1,890,29,hr_q2,19
1min,1,9818,29,hourofday,1
1min,1,9818,29,age,2
1min,1,9818,29,temp_sd,3
1min,1,9818,29,acc_sd,4
1min,1,9818,29,sex,5
1min,1,9818,29,acc_q2,6
1min,1,9818,29,acc_q1,7
1min,1,9818,29,acc_mean,8
1min,1,9818,29,acc_q3,9
1min,1,9818,29,hr_sd,10
1min,1,9818,29,eda_cat,11
1min,1,9818,29,hr_mean,12
1min,1,9818,29,hr_q3,13
1min,1,9818,29,hr_q1,14
1min,1,9818,29,temp_q3,15
1min,1,9818,29,temp_q2,16
1min,1,9818,29,temp_q1,17
1min,1,9818,29,hr_q2,18
1min,1,9818,29,temp_mean,19
1min,1,7,29,hourofday,1
1min,1,7,29,age,2
1min,1,7,29,temp_sd,3
1min,1,7,29,acc_sd,4
1min,1,7,29,acc_q2,5
1min,1,7,29,acc_q1,6
1min,1,7,29,acc_mean,7
1min,1,7,29,sex,8
1min,1,7,29,acc_q3,9
1min,1,7,29,hr_sd,10
1min,1,7,29,eda_cat,11
1min,1,7,29,hr_q3,12
1min,1,7,29,hr_mean,13
1min,1,7,29,temp_q3,14
1min,1,7,29,hr_q1,15
1min,1,7,29,temp_q2,16
1min,1,7,29,temp_mean,17
1min,1,7,29,temp_q1,18
1min,1,7,29,hr_q2,19
1min,1,155,29,hourofday,1
1min,1,155,29,age,2
1min,1,155,29,temp_sd,3
1min,1,155,29,acc_q1,4
1min,1,155,29,acc_sd,5
1min,1,155,29,acc_mean,6
1min,1,155,29,acc_q2,7
1min,1,155,29,acc_q3,8
1min,1,155,29,sex,9
1min,1,155,29,hr_sd,10
1min,1,155,29,hr_mean,11
1min,1,155,29,eda_cat,12
1min,1,155,29,hr_q3,13
1min,1,155,29,temp_q1,14
1min,1,155,29,hr_q1,15
1min,1,155,29,temp_q2,16
1min,1,155,29,temp_q3,17
1min,1,155,29,hr_q2,18
1min,1,155,29,temp_mean,19
1min,1,642,29,hourofday,1
1min,1,642,29,age,2
1min,1,642,29,temp_sd,3
1min,1,642,29,acc_mean,4
1min,1,642,29,acc_sd,5
1min,1,642,29,acc_q1,6
1min,1,642,29,acc_q2,7
1min,1,642,29,sex,8
1min,1,642,29,acc_q3,9
1min,1,642,29,hr_sd,10
1min,1,642,29,eda_cat,11
1min,1,642,29,hr_mean,12
1min,1,642,29,hr_q3,13
1min,1,642,29,temp_q2,14
1min,1,642,29,temp_q1,15
1min,1,642,29,hr_q1,16
1min,1,642,29,temp_q3,17
1min,1,642,29,temp_mean,18
1min,1,642,29,hr_q2,19
1min,1,890,1349,hourofday,1
1min,1,890,1349,age,2
1min,1,890,1349,acc_q1,3
1min,1,890,1349,temp_sd,4
1min,1,890,1349,acc_mean,5
1min,1,890,1349,acc_sd,6
1min,1,890,1349,acc_q3,7
1min,1,890,1349,sex,8
1min,1,890,1349,acc_q2,9
1min,1,890,1349,hr_sd,10
1min,1,890,1349,eda_cat,11
1min,1,890,1349,hr_q3,12
1min,1,890,1349,hr_mean,13
1min,1,890,1349,hr_q1,14
1min,1,890,1349,temp_q3,15
1min,1,890,1349,temp_q2,16
1min,1,890,1349,temp_q1,17
1min,1,890,1349,hr_q2,18
1min,1,890,1349,temp_mean,19
1min,1,9818,1349,hourofday,1
1min,1,9818,1349,age,2
1min,1,9818,1349,temp_sd,3
1min,1,9818,1349,acc_sd,4
1min,1,9818,1349,acc_q1,5
1min,1,9818,1349,sex,6
1min,1,9818,1349,acc_q2,7
1min,1,9818,1349,acc_mean,8
1min,1,9818,1349,acc_q3,9
