seed_split,align,l,modal,var_lst,epoch,hr
7,5,19,"hourofday,age,sex,hr,acc,eda,temp","hourofday,age,temp_sd,acc_sd,acc_q1,acc_q2,acc_mean,acc_q3,sex,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,hr_q1,temp_q3,temp_mean,temp_q1,hr_q2",1min,TRUE
155,5,19,"hourofday,age,sex,hr,acc,eda,temp","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,hr_mean,eda_cat,hr_q3,hr_q1,temp_q1,temp_q2,temp_q3,hr_q2,temp_mean",1min,TRUE
642,5,19,"hourofday,age,sex,hr,acc,eda,temp","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q1,hr_q1,temp_q3,temp_mean,hr_q2",1min,TRUE
890,1,14,"hourofday,age,sex,eda,acc,temp","hourofday,temp_sd,age,acc_sd,acc_q1,acc_mean,acc_q2,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
9818,1,14,"hourofday,age,sex,eda,acc,temp","hourofday,temp_sd,acc_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
7,1,14,"hourofday,age,sex,eda,acc,temp","hourofday,temp_sd,age,acc_sd,acc_q2,acc_q3,acc_mean,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
155,1,14,"hourofday,age,sex,eda,acc,temp","hourofday,temp_sd,acc_sd,acc_q1,age,acc_q2,acc_mean,acc_q3,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
642,1,14,"hourofday,age,sex,eda,acc,temp","hourofday,temp_sd,acc_sd,age,acc_mean,acc_q2,acc_q1,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
890,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,temp_sd,age,acc_sd,acc_q1,acc_mean,acc_q2,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
9818,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,temp_sd,acc_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
7,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,temp_sd,age,acc_sd,acc_q2,acc_q3,acc_mean,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
155,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,temp_sd,acc_sd,acc_q1,age,acc_q2,acc_mean,acc_q3,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
642,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,temp_sd,acc_sd,age,acc_mean,acc_q2,acc_q1,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
890,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,temp_sd,age,acc_sd,acc_q1,acc_mean,acc_q2,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
9818,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,temp_sd,acc_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
7,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,temp_sd,age,acc_sd,acc_q2,acc_q3,acc_mean,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
155,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,temp_sd,acc_sd,acc_q1,age,acc_q2,acc_mean,acc_q3,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
642,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,temp_sd,acc_sd,age,acc_mean,acc_q2,acc_q1,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
890,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,age,acc_sd,acc_q1,acc_mean,acc_q2,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
9818,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,acc_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
7,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,age,acc_sd,acc_q2,acc_q3,acc_mean,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
155,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,acc_sd,acc_q1,age,acc_q2,acc_mean,acc_q3,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
642,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,acc_sd,age,acc_mean,acc_q2,acc_q1,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
890,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,age,acc_sd,acc_q1,acc_mean,acc_q2,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
9818,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,acc_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
7,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,age,acc_sd,acc_q2,acc_q3,acc_mean,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
155,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,acc_sd,acc_q1,age,acc_q2,acc_mean,acc_q3,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",1min,FALSE
642,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,temp_sd,acc_sd,age,acc_mean,acc_q2,acc_q1,acc_q3,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",1min,FALSE
890,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_sd,acc_q1,hr_q3,acc_q3,sex,acc_q2,acc_mean,hr_mean,hr_sd,hr_q1,hr_q2,temp_q3,eda_cat,temp_q1,temp_q2,temp_mean",5min,TRUE
9818,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,acc_sd,temp_sd,sex,hr_q3,acc_q1,acc_q2,hr_sd,acc_q3,hr_q2,hr_mean,acc_mean,hr_q1,temp_q3,eda_cat,temp_q1,temp_q2,temp_mean",5min,TRUE
7,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_sd,hr_q3,sex,hr_sd,acc_q3,acc_q2,acc_q1,hr_q2,acc_mean,hr_mean,hr_q1,temp_q3,temp_q1,eda_cat,temp_mean,temp_q2",5min,TRUE
155,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_sd,sex,acc_q1,hr_q3,hr_sd,acc_q3,acc_q2,hr_mean,hr_q2,acc_mean,hr_q1,temp_q3,temp_q1,temp_mean,temp_q2,eda_cat",5min,TRUE
642,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_sd,sex,acc_q2,acc_q1,hr_sd,acc_q3,hr_q3,acc_mean,hr_q2,hr_mean,hr_q1,temp_q3,temp_q1,temp_mean,eda_cat,temp_q2",5min,TRUE
890,2,19,"hourofday,age,sex,temp,acc,eda,hr","hourofday,age,temp_sd,acc_sd,acc_q1,hr_q3,acc_q3,sex,acc_q2,acc_mean,hr_mean,hr_sd,hr_q1,hr_q2,temp_q3,eda_cat,temp_q1,temp_q2,temp_mean",5min,TRUE
